Year,Recipient_Code,Source_Code, Disbursement ,,,,,,CFLI
2017,IQ ,1024," 32,395.18 ",,,,,,
2017,IR ,1024," 21,058.42 ",,,,,,
2017,JM ,1024," 9,920.52 ",,,,,,
2017,JO ,1024," 30,287.19 ",,,,,,
2017,KE ,1024," 192,153.95 ",,,,,,
2017,KG ,1024," 15,391.74 ",,,,,,
2017,KH ,1024," 61,507.69 ",,,,,,
2017,KI ,1024," 2,475.72 ",,,,,,
2017,KM ,1024," 16,256.36 ",,,,,,
2017,KP ,1024," 28,742.08 ",,,,,,
2017,KV ,1024," 8,388.37 ",,,,,,
2017,KZ ,1024," 9,800.76 ",,,,,,
2017,LA ,1024," 30,149.23 ",,,,,,
2017,LB ,1024," 23,442.59 ",,,,,,
2017,LK ,1024," 14,357.58 ",,,,,,
2017,LR ,1024," 56,169.39 ",,,,,,
2017,LS ,1024," 29,840.38 ",,,,,,
2017,LY ,1024," 7,726.37 ",,,,,,
2017,MA ,1024," 18,988.34 ",,,,,,
2017,MD ,1024," 12,826.92 ",,,,,,
2017,ME ,1024," 10,776.20 ",,,,,,
2017,MG ,1024," 114,637.87 ",,,,,,
2017,MK ,1024," 7,196.61 ",,,,,,
2017,ML ,1024," 215,772.22 ",,,,,,
2017,MM ,1024," 201,768.57 ",,,,,,
2017,MN ,1024," 16,322.84 ",,,,,,
2017,MR ,1024," 35,196.69 ",,,,,,
2017,MV ,1024," 9,641.15 ",,,,,,
2017,MW ,1024," 132,511.82 ",,,,,,
2017,MX ,1024," 15,616.23 ",,,,,,
2017,MY ,1024," 8,890.03 ",,,,,,
2017,MZ ,1024," 184,689.85 ",,,,,,
2017,NA ,1024," 14,286.65 ",,,,,,
2017,NE ,1024," 227,463.78 ",,,,,,
2017,NG ,1024," 649,545.81 ",,,,,,
2017,NI ,1024," 13,656.05 ",,,,,,
2017,NP ,1024," 87,455.43 ",,,,,,
2017,PA ,1024," 10,421.17 ",,,,,,
2017,PE ,1024," 15,430.47 ",,,,,,
2017,PG ,1024," 16,855.32 ",,,,,,
2017,PH ,1024," 40,455.72 ",,,,,,
2017,PK ,1024," 362,572.94 ",,,,,,
2017,PS ,1024," 38,264.90 ",,,,,,
2017,PY ,1024," 16,315.04 ",,,,,,
2017,R12,1024," 143,534.82 ",,,,,,
2017,R20,1024," 45,250.35 ",,,,,,
2017,R31,1024," 57,813.48 ",,,,,,
2017,R33,1024," 29,275.39 ",,,,,,
2017,R35,1024," 26,604.02 ",,,,,,
2017,R50,1024," 58,342.39 ",,,,,,
2017,R90,1024," 6,381,188.87 ",,,,,,
2017,RS ,1024," 7,924.68 ",,,,,,
2017,RW ,1024," 92,637.26 ",,,,,,
2017,SB ,1024," 5,850.28 ",,,,,,
2017,SD ,1024," 161,632.66 ",,,,,,
2017,SL ,1024," 110,773.61 ",,,,,,
2017,SN ,1024," 75,467.91 ",,,,,,
2017,SO ,1024," 206,536.83 ",,,,,,
2017,SS ,1024," 119,999.00 ",,,,,,
2017,ST ,1024," 11,766.91 ",,,,,,
2017,SV ,1024," 11,468.15 ",,,,,,
2017,SY ,1024," 29,094.45 ",,,,,,
2017,SZ ,1024," 15,789.63 ",,,,,,
2017,TD ,1024," 174,509.18 ",,,,,,
2017,TG ,1024," 51,357.58 ",,,,,,
2017,TH ,1024," 12,094.70 ",,,,,,
2017,TJ ,1024," 29,433.42 ",,,,,,
2017,TL ,1024," 13,223.67 ",,,,,,
2017,TM ,1024," 12,247.65 ",,,,,,
2017,TN ,1024," 10,008.26 ",,,,,,
2017,TR ,1024," 9,745.55 ",,,,,,
2017,TV ,1024, 101.21 ,,,,,,
2017,TZ ,1024," 219,666.21 ",,,,,,
2017,UA ,1024," 14,163.32 ",,,,,,
2017,UG ,1024," 244,627.88 ",,,,,,
2017,UY ,1024," 10,367.29 ",,,,,,
2017,UZ ,1024," 39,772.23 ",,,,,,
2017,VE ,1024," 10,626.05 ",,,,,,
2017,VN ,1024," 59,814.55 ",,,,,,
2017,VU ,1024," 7,944.93 ",,,,,,
2017,YE ,1024," 86,610.96 ",,,,,,
2017,ZA ,1024," 15,842.50 ",,,,,,
2017,ZM ,1024," 102,820.85 ",,,,,,
2017,ZW ,1024," 97,267.93 ",,,,,,
2017,JO ,1026," 4,308,550.88 ",,,,,,
2017,LB ,1026," 2,859,222.51 ",,,,,,
2017,PS ,1026," 11,813,201.22 ",,,,,,
2017,SY ,1026," 1,019,025.39 ",,,,,,
2017,R10,1027," 1,000,000.00 ",,,,,,
2017,R20,1027," 300,000.00 ",,,,,,
2017,R30,1027," 500,000.00 ",,,,,,
2017,R40,1027," 200,000.00 ",,,,,,
2017,R10,1028," 1,588,449.12 ",,,,,,
2017,R20,1028," 1,588,449.12 ",,,,,,
2017,R30,1028," 1,588,449.12 ",,,,,,
2017,R40,1028," 529,483.04 ",,,,,,
2017,AF ,1029," 242,446.89 ",,,,,,
2017,AM ,1029," 130,735.42 ",,,,,,
2017,AO ,1029," 60,020.09 ",,,,,,
2017,BA ,1029," 48,769.75 ",,,,,,
2017,BD ,1029," 1,051,588.07 ",,,,,,
2017,BF ,1029," 125,532.25 ",,,,,,
2017,BI ,1029," 283,487.72 ",,,,,,
2017,BJ ,1029," 52,012.47 ",,,,,,
2017,BO ,1029," 117,999.05 ",,,,,,
2017,BT ,1029," 43,302.53 ",,,,,,
2017,BW ,1029," 1,841.15 ",,,,,,
2017,CD ,1029," 15,855.04 ",,,,,,
2017,CF ,1029," 65,712.99 ",,,,,,
2017,CG ,1029," 45,288.50 ",,,,,,
2017,CI ,1029," 50,706.18 ",,,,,,
2017,CM ,1029," 180,850.38 ",,,,,,
2017,CN ,1029," 83,436.13 ",,,,,,
2017,CU ,1029," 3,680.09 ",,,,,,
2017,CV ,1029," 30,699.66 ",,,,,,
2017,DJ ,1029," 20,633.07 ",,,,,,
2017,EG ,1029," 433,389.92 ",,,,,,
2017,ER ,1029," 138,007.28 ",,,,,,
